sampleMetadata	class	InjOrder	SourisGenre	Genre	Type	BW	injectionOrder	sampleType	batch
POOL_POS10_BA5_01_16954	Sample	16954					16954	pool	pos
POOL_POS9_BA5_01_16947	Sample	16947					16947	pool	pos
POOL_POS8_BA5_01_16940	Sample	16940					16940	pool	pos
POOL_POS7_BA5_01_16933	Sample	16933					16933	pool	pos
POOL_POS6_BA5_01_16926	Sample	16926					16926	pool	pos
POOL_POS3_GA2_01_16905	Sample	16905					16905	pool	pos
POOL_POS2_GA2_01_16904	Sample	16904					16904	pool	pos
POOL_POS1_GA2_01_16903	Sample	16903					16903	pool	pos
Ec57725P_521F_M_Lo_BA4_01_16953	Sample	16953	521F	F	M	Lo	16953	sample	pos
Ec57724P_528M_M_Hi_BA3_01_16952	Sample	16952	528M	M	M	Hi	16952	sample	pos
Ec57723P_622F_C_Lo_BA2_01_16951	Sample	16951	622F	F	C	Lo	16951	sample	pos
Ec57722P_841F_L_Lo_BA1_01_16950	Sample	16950	841F	F	L	Lo	16950	sample	pos
Ec57721P_627M_C_Hi_GE8_01_16949	Sample	16949	627M	M	C	Hi	16949	sample	pos
Ec57720P_826M_L_Hi_GE7_01_16948	Sample	16948	826M	M	L	Hi	16948	sample	pos
Ec57719P_508F_M_Lo_GE6_01_16946	Sample	16946	508F	F	M	Lo	16946	sample	pos
Ec57718P_506M_M_Hi_GE5_01_16945	Sample	16945	506M	M	M	Hi	16945	sample	pos
Ec57717P_620F_C_Lo_GE4_01_16944	Sample	16944	620F	F	C	Lo	16944	sample	pos
Ec57716P_862F_L_Lo_GE3_01_16943	Sample	16943	862F	F	L	Lo	16943	sample	pos
Ec57715P_859M_L_Hi_GE2_01_16942	Sample	16942	859M	M	L	Hi	16942	sample	pos
Ec57714P_629M_C_Lo_GE1_01_16941	Sample	16941	629M	M	C	Lo	16941	sample	pos
Ec57713P_509F_M_Lo_GD8_01_16939	Sample	16939	509F	F	M	Lo	16939	sample	pos
Ec57712P_623F_C_Lo_GD7_01_16938	Sample	16938	623F	F	C	Lo	16938	sample	pos
Ec57711P_502M_M_Hi_GD6_01_16937	Sample	16937	502M	M	M	Hi	16937	sample	pos
Ec57710P_634M_C_Hi_GD5_01_16936	Sample	16936	634M	M	C	Hi	16936	sample	pos
Ec57709P_836F_L_Hi_GD4_01_16935	Sample	16935	836F	F	L	Hi	16935	sample	pos
Ec57708P_621F_C_Lo_GD3_01_16934	Sample	16934	621F	F	C	Lo	16934	sample	pos
Ec57707P_825M_L_Hi_GD2_01_16932	Sample	16932	825M	M	L	Hi	16932	sample	pos
Ec57706P_527M_M_Hi_GD1_01_16931	Sample	16931	527M	M	M	Hi	16931	sample	pos
Ec57705P_517F_M_Lo_GC8_01_16930	Sample	16930	517F	F	M	Lo	16930	sample	pos
Ec57704P_632F_C_Lo_GC7_01_16929	Sample	16929	632F	F	C	Lo	16929	sample	pos
Ec57703P_625M_C_Hi_GC6_01_16928	Sample	16928	625M	M	C	Hi	16928	sample	pos
Ec57702P_503M_M_Hi_GC5_01_16927	Sample	16927	503M	M	M	Hi	16927	sample	pos
Ec57701P_818F_L_Lo_GC4_01_16925	Sample	16925	818F	F	L	Lo	16925	sample	pos
Ec57700P_529F_M_Lo_GC3_01_16924	Sample	16924	529F	F	M	Lo	16924	sample	pos
Ec57699P_824M_L_Hi_GC2_01_16923	Sample	16923	824M	M	L	Hi	16923	sample	pos
Ec57698P_616F_C_Lo_GC1_01_16922	Sample	16922	616F	F	C	Lo	16922	sample	pos
Ec57697P_501F_M_Lo_GB8_01_16921	Sample	16921	501F	F	M	Lo	16921	sample	pos
Ec57696P_630M_C_Hi_GB7_01_16920	Sample	16920	630M	M	C	Hi	16920	sample	pos
Ec57695P_849M_L_Hi_GB6_01_16918	Sample	16918	849M	M	L	Hi	16918	sample	pos
Ec57694P_518F_M_Lo_GB5_01_16917	Sample	16917	518F	F	M	Lo	16917	sample	pos
Ec57693P_848M_L_Hi_GB4_01_16916	Sample	16916	848M	M	L	Hi	16916	sample	pos
Ec57692P_633F_C_Lo_GB3_01_16915	Sample	16915	633F	F	C	Lo	16915	sample	pos
Ec57691P_819F_L_Lo_GB2_01_16914	Sample	16914	819F	F	L	Lo	16914	sample	pos
Ec57690P_631M_C_Hi_GB1_01_16913	Sample	16913	631M	M	C	Hi	16913	sample	pos
Ec57689P_827M_L_Lo_GA8_01_16911	Sample	16911	827M	M	L	Lo	16911	sample	pos
Ec57688P_531F_M_Lo_GA7_01_16910	Sample	16910	531F	F	M	Lo	16910	sample	pos
Ec57687P_854F_L_Lo_GA6_01_16909	Sample	16909	854F	F	L	Lo	16909	sample	pos
Ec57686P_513M_M_Hi_GA5_01_16908	Sample	16908	513M	M	M	Hi	16908	sample	pos
Ec57685P_628M_C_Hi_GA4_01_16907	Sample	16907	628M	M	C	Hi	16907	sample	pos
Ec57684P_617F_C_Lo_GA3_01_16906	Sample	16906	617F	F	C	Lo	16906	sample	pos
BLC_POS3_GA1_01_16902	BLC	16902					16902	blank	pos
BLC_POS2_GA1_01_16898	BLC	16898					16898	blank	pos
BLC_POS1_GA1_01_16897	BLC	16897					16897	blank	pos
